English,Ga
   Do not labor for the food which perishes but for the food which endures to everlasting life which the Son of Man will give you because God the Father has set His seal on Him',  Nɛ mɛbɛn ni aheyebɔ lɛ nɛ ni yɔɔ aheyɛ lɛ ni Son ni Onya eba ni eban lɛ ni Nyankopɔn Otuya ŋwɛ hɛn ɛka ahe onyaa
   Then they said to Him 'What shall we do that we may work the works of God?',  Ni amɛhe lɛ nɔ akɛ “Gbekɛ ebi lɛ nɛ nɛ ɛhe ni amɛyeyɔ Nyankopɔn ahe?”
   Jesus answered and said to them 'This is the work of God that you believe in Him whom He sent',  Yesu here nɔ akɛ “Eni lɛ Nyankopɔn ni ebi yɛn ahe mi yɔɔ”
   Therefore they said to Him 'What sign will You perform then that we may see it and believe You? What work will You do?,  Kɛkɛ ni amɛhe lɛ nɔ akɛ “Gbekɛ ebi lɛ ni ekɛ mɛnɛ amɛna mɛa ebi yɛ? Nɛ nɛyi lɛ nɛ?
   Our fathers ate the manna in the desert as it is written 'He gave them bread from heaven to eat'\,  Amɛfɛni ateɛ ahe nɛ daami ni ahe ahe buɔ “Eka heyei ahe mɛtɔ ahe”\
   Then Jesus said to them 'Most assuredly I say to you Moses did not give you the bread from heaven but My Father gives you the true bread from heaven,  Shi Yesu here nɔ akɛ “Nɔ lɛ nɛ Mɔsɛ nɛbɛn naɛ lɛ ahe ahe nɛ mɛsɛmɛn ahe ŋwɛ fɛɛ tɛkɛ ahe”
   For the bread of God is He who comes down from heaven and gives life to the world',  Ni Nyankopɔn lɛ ahe mɛto bɔ i ɛhe ahe ma sɛɛn lɛ ahe
   Then they said to Him 'Lord give us this bread always',  Ni amɛhe nɔ akɛ “Ayi mɛshe no ahe lɛ”
   And Jesus said to them 'I am the bread of life He who comes to Me shall never hunger and he who believes in Me shall never thirst',  Ni Yesu kɛɛ nɔ akɛ “Miŋ nyɛmɛ ahe ɔhe lɛ Eba ni yɔɔ mɛtɔ ni ɛka mi ahe ni amɛyɛ ni ye mɛsɛ wɔlɔ”
   But I said to you that you have seen Me and yet do not believe,  Shi mɛnɛ lɛ yɔ ejaakɛ ebi dɛ ni yɔɔ mɛ ahe”
   All that the Father gives Me will come to Me and the one who comes to Me I will by no means cast out,  Ayi lɛ Nyankopɔn de yɔ mi ahe yɔɔ lɛ ni ni yɔɔ mi ni akɛɛ mɛbɛ ma
   For I have come down from heaven not to do My own will but the will of Him who sent Me,  Ni mɛbɛsɔ yɔɔ fɛɛ ahe mɛnɛ mɛyɛ eba ahe ni ebaŋwɔmi nɔ lɛ”
   This is the will of the Father who sent Me that of all He has given Me I should lose nothing but should raise it up at the last day,  Enɛ lɛ Nyankopɔn ebaŋwɔmi ni ebi ɔhɔ he lɛ mɛwo ma ahe wɛ dɔ hɛ
   And this is the will of Him who sent Me that everyone who sees the Son and believes in Him may have everlasting life and I will raise him up at the last day',  Ni enɛ lɛ ebaŋwɔmi nɔ lɛ ni biya ne ahe lɛ ni mɛwo amɛye ni mɛwo dɔ wɛ ni dɔ
   The Jews then complained of Him because He said 'I am the bread which came down from heaven',  a Yudafoi no ḿbɔ yɔ akɛ nɛ bɔ “Miŋ nyɛmɛ ahe wɔ fɛɛ”
   And they said 'Is this not Jesus the son of Joseph whose father and mother we know? How is it then that He says 'I have come down from heaven'?',  Ni amɛhe nɔ akɛ “Na ebi ni Yesu Joseph nɛ fɛɛmɛ mɛ hahe ni jɔɛ? Akɛ na ɛni lɛ nɛ yɔ ‘Miŋ nyɛmɛ ahe’?
   Jesus therefore answered and said to them 'Do not murmur among yourselves,  Yesu shishi nɔ akɛ “Nɛ bɛ bɔni bɛ nɔ akɛ”
   No one can come to Me unless the Father who sent Me draws him and I will raise him up at the last day',  Nɛ ebi nɛbɔ nɔ lɛ na Nyankopɔn nɛ hɛ bɛ lɛ nɛ mɛbɛ ma ebi yɛni ahe wɛ
   It is written in the prophets 'And they shall all be taught by God' Therefore everyone who has heard and learned from the Father comes to Me,  Ni ahe bɔ nɛ asɛm ‘Ni Nyankopɔn ni ebi nɛ yɔ’ Kɛkɛ amɛyɔ ebi ni nyɛ Nyankopɔn bɛ yɔ
   Not that anyone has seen the Father except He who is from God He has seen the Father,  Nɛ ni ebi amɛyɔ Nyankopɔn nɛ akɛ ebi de ahe bɛ ni yɔ Nyankopɔn
   Most assuredly I say to you he who believes in Me has everlasting life,  Nɔ lɛ nɛ mɛdɛ ahe ebi na amɛyɛ ahe
   I am the bread of life,  Miŋ nyɛmɛ ahe ɔhe lɛ
   Your fathers ate the manna in the wilderness and are dead,  Eni amɛfɛni ateɛ ahe nɛ daami ni yɔɔ ebaŋwɔmi
   This is the bread which comes down from heaven that one may eat of it and not die,  Enɛ lɛ mɛto ahe ni akɛ ahe ahe eba mɛlɔ ahe
   I am the living bread which came down from heaven If anyone eats of this bread he will live forever and the bread that I shall give is My flesh which I shall give for the life of the world',  Miŋ lɛ mɛto ahe ni mɛka ahe Ni ebi bɔɔ mɛto na mɛyɛ ahe ni mɛyɛ ahe no ahe mɛyɛ ahe no ahe
   The Jews therefore quarreled among themselves saying 'How can this Man give us His flesh to eat?',  a Yudafoi no ḿbɔ lɛ akɛ “Nɛ ḿbɛsɛmɛ he nɛ akɛ ‘Gba no ahe lɛ? Ahe?”
   Then Jesus said to them 'Most assuredly I say to you unless you eat the flesh of the Son of Man and drink His blood you have no life in you,  Ni Yesu kɛɛ nɔ akɛ “Nɔ lɛ nɛ nɛ bɛdɔ hɛn nɛ ni ebi nɛ bɛsɛmɛ lɛ ni bɔ ni amɛyɛ nɛ bɛ dɔ lɛ”
   Whoever eats My flesh and drinks My blood has eternal life and I will raise him up at the last day,  Ebi yɛ mɛdɔ hɛn ni mɛdɔ hɛn na mɛwo dɔ wɛ
   For My flesh is food indeed and My blood is drink indeed,  Ni mɛhɛn na mɛdɔ ahe ni mɛhɛn na mɛdɔ ahe
   He who eats My flesh and drinks My blood abides in Me and I in him,  Ebi yɛ mɛdɔ hɛn ni bɔni dɔ ahe ni mɛhɛn lɛ ni bɔni hɛn lɛ
   As the living Father sent Me and I live because of the Father so he who feeds on Me will live because of Me,  Nɛ mɛhe ɔhe ebaŋwɔmi ni mɛhɛn lɛ ni mɛsɛ ɔhe ebaŋwɔmi ni ebi ni amɛbɔ ahe
   This is the bread which came down from heaven not as your fathers ate the manna and are dead He who eats this bread will live forever',  Enɛ lɛ mɛto ahe ahe nɛ ɛbi ni amɛfɛni ateɛ ahe nɛ ahe ebaŋwɔmi Ebi yɛ mɛto no ahe ebi nɛ
   These things He said in the synagogue as He taught in Capernaum,  Enɛ ahe nɛ shishi lɛ lɛ Kapernaum
   Therefore many of His disciples when they heard this said 'This is a hard saying who can understand it?',  Kɛkɛ ni nɛ amɛngɔ nɛ amɛyɔ ebi “Enɛ lɛ nɛ ɛni lɛ ahe ɛhe ni mɛlɛ”
   When Jesus knew in Himself that His disciples complained about this He said to them 'Does this offend you?,  Ni Yesu yɛ adɛmɔ mɛnɛ akɛ nɛ amɛngɔ bɔ akɛ “Nɛ amɛshɛ ebi?”
   What then if you should see the Son of Man ascend where He was before?,  Nɛ be nɛ amɛyɔ ebi nɛ ni ɛhe lɛ na amɛbɛyɛ nɛ nɛ lɛ nɛ tɛ nɛ
   It is the Spirit who gives life the flesh profits nothing The words that I speak to you are Spirit and they are life,  Ni Sɛni mɛbɛ yɛ na mɛhɛn lɛ ni mɛyɛ kɛ baɔ ni mɛkɛ ahe no ahe lɛ mɛyɛ ahe ni ɛyɛ
   But there are some of you who do not believe For Jesus knew from the beginning who they were who did not believe and who would betray Him,  Shi ɛbɛ lɛ nɛ amɛyɔ ebi nɛ mɛhɛn lɛ nɛ yɛ Ni Yesu yɛnin bɔ ɔhɔ ebi lɛ yɔɔ lɛ nɛ ni wɛ yɔ
   And He said 'Therefore I have said to you that no one can come to Me unless it has been granted to him by My Father',  Ni ɛyɛ bɛkɛ mɛhe lɛ nɛ nɛbɔ lɛ ni ebi nɛ bɛsɛm lɛ nɛ ni ebi bɛ heye ni Nyankopɔn nɛ
   From that time many of His disciples went back and walked with Him no more,  Ni eha amɛngɔ nɛ mɛnyɛ yɛ lɛ na ebi nɛ bɛ he
   Then Jesus said to the twelve 'Do you also want to go away?',  Ni Yesu shishi nɔ akɛ “Ebi mɛyɛ bɛ nɛ?”
   But Simon Peter answered Him 'Lord to whom shall we go? You have the words of eternal life,  Nɛ Simon Peter here nɔ akɛ “Ayi na na ebi yɛ? Nɛ wɛ mɛkɛ ahe no ahe
   Also we have come to believe and know that You are the Christ the Son of the living God',  Amɛyɛ bɛnyɛ mɛfɔ ni yɛyɛ na amɛyɛ gbi ni ɛyɛ
   Jesus answered them 'Did I not choose you the twelve and one of you is a devil?',  Yesu here nɔ akɛ “Mɛnyɛ mɛdɛ ni ebi yɛn no ahe nɛ ni yɛyɛ?”
   He spoke of Judas Iscariot the son of Simon for it was he who would betray Him being one of the twelve,  Nɛ nɛnɛ Judas Iscariot Simon nɛ bɔ ni ebi nɛ nɛ bɛ yɛ
   After these things Jesus walked in Galilee for He did not want to walk in Judea because the Jews sought to kill Him,  Enɛ sɛɛ lɛ Yesu kpa shi yɛ Galilea Esumɔɔɔ akɛ eyakpaa shi yɛ Yudea ejaakɛ Yudafoi lɛ miitao lɛ agbe
   Now the Jews' Feast of Tabernacles was at hand,  Agbɛnɛ Yudafoi lɛ Asesei agbijurɔ lɛ eshɛ etã
   His brothers therefore said to Him 'Depart from here and go into Judea that Your disciples also may see the works that You are doing',  No hewɔ lɛ enyɛmimɛi lɛ kɛɛ lɛ akɛ “Jee biɛ ni oya Yudea koni okaselɔi lɛ hu ana onitsumɔi ni otsuɔ lɛ
   For no one does anything in secret while he himself seeks to be known openly If You do these things show Yourself to the world',  Ejaakɛ mɔ ko ni etao akɛ ale lɛ jogbaŋŋ lɛ efeee nɔ ko yɛ teemɔ mli Akɛni oofee nibii nɛɛ lɛ jiemɔ ohe shi otsɔ̃ɔ je lɛ
   For even His brothers did not believe in Him,  Shi enyɛmimɛi lɛ tete po heee enɔ yeee
   Then Jesus said to them 'My time has not yet come but your time is always ready',  Kɛkɛ ni Yesu kɛɛ amɛ akɛ “Mibe lɛ nako ashɛ shi nyɛ lɛ nyɛbe lɛ daa nɛɛ eshɛ
   The world cannot hate you but it hates Me because I testify of it that its works are evil,  Je lɛ nyɛɛɛ nyɛ anyɛ shi mi lɛ enyɛɔ mi ejaakɛ miyeɔ ehe odase akɛ enitsumɔi lɛ nitsumɔi fɔ̃ji ni
   You go up to this feast I am not yet going up to this feast for My time has not yet fully come',  Nyɛ lɛ nyɛyaa gbijurɔ nɛɛ yeli shi mi lɛ minako maya ejaakɛ mibe lɛ nako ashɛ
   When He had said these things to them He remained in Galilee,  Be ni ekɛɛ amɛ nɛkɛ lɛ ehi shi yɛ Galilea
   But when His brothers had gone up then He also went up to the feast not openly but as it were in secret,  Shi be ni enyɛmimɛi lɛ etee gbijurɔ lɛ sɛɛ lɛ lɛ hu etee shi ejieee ehe shi shi moŋ efee tamɔ mɔ ko ni miitee ehe
   Then the Jews sought Him at the feast and said 'Where is He?',  Agbɛnɛ Yudafoi lɛ bɔ̃i lɛ taomɔ yɛ gbijurɔ lɛ nɔ ni amɛkɛɛ “Nɛgbɛ eyɔɔ?”
   And there was much complaining among the people concerning Him Some said 'He is a good man' others said 'No on the contrary He deceives the people',  Ni huhuhuhu wiemɔi pii ete shi yɛ mɛi lɛ ateŋ yɛ ehe Mɛi komɛi kɛɛ akɛ “Gbɔmɔ kpakpa ji lɛ” ni mɛi komɛi hu kɛɛ akɛ “Dabi hã moŋ ehãa asafo lɛ duduɔ”
   However no one spoke openly of Him for fear of the Jews,  Tsɛbelɛ mɔ ko ejeee faŋŋ ewieee ehe yɛ Yudafoi lɛ ashemɔ hewɔ
   Now about the middle of the feast Jesus went up into the temple and taught,  Shi be ni shɛ gbijurɔ lɛ teŋ lɛ Yesu tee Sɔlemɔ we lɛ ni eyatsɔ̃ɔ nii
   And the Jews marveled saying 'How does this Man know letters having never studied?',  Ni Yudafoi lɛ anaa kpɛ amɛhe ni amɛkɛɛ “Te mɔ nɛ ni ekaseko nii lɛ fee tɛŋŋ ni ele woji amli nii nɛkɛ?”
   Jesus answered them and said 'My doctrine is not Mine but His who sent Me,  Yesu here amɛ nɔ ni ekɛɛ “Minitsɔ̃ɔmɔ lɛ jeee minɔŋ shi moŋ mɔ ni tsu mi lɛ nɔŋ
   If anyone wants to do His will he shall know concerning the doctrine whether it is from God or whether I speak on My own authority,  Kɛji mɔ ko miisumɔ akɛ efee esuɔmɔnaanii lɛ ebaayoo yɛ tsɔ̃ɔmɔ lɛ he akɛ Nyɔŋmɔ dɛŋ jɛ aloo mi diɛŋtsɛ miyiŋ mitoɔ miwieɔ
   He who speaks from himself seeks his own glory but He who seeks the glory of the One who sent Him is true and no unrighteousness is in Him,  Mɔ ni toɔ lɛ diɛŋtsɛ eyiŋ ewieɔ lɛ lɛ diɛŋtsɛ enunyam etaoɔ shi mɔ ni taoɔ mɔ ni tsu lɛ lɛ anunyam lɛ lɛ lɛ anɔkwafo ji lɛ ni nɔ ni ejaaa gbɛ bɛ emli
   Did not Moses give you the law yet none of you keeps the law? Why do you seek to kill Me?',  Ani jeee Mose hã nyɛ Mla lɛ? Ni nyɛteŋ mɔ ko mɔ ko yeee Mla lɛ nɔ Mɛni hewɔ nyɛtaoɔ mi nyɛgbe lɛ?
   The people answered and said 'You have a demon Who is seeking to kill You?',  Asafo lɛ here nɔ ni amɛkɛɛ “Mumɔ fɔŋ yɛ omli namɔ taoɔ bo agbe?”
   Jesus answered and said to them 'I did one work and you all marvel,  Yesu here nɔ ni ekɛɛ amɛ akɛ “Nitsumɔ kome mitsu ni nyɛ fɛɛ nyɛnaa ekpɛ nyɛhe yɛ he
   Moses therefore gave you circumcision (not that it is from Moses but from the fathers) and you circumcise a man on the Sabbath,  Mose kɛ ketiafoo lɛ hã nyɛ — jeee akɛ lɛ Mose lɛ eŋɔɔ ejɛ shi moŋ ejɛ tsɛmɛi lɛ aŋɔɔ — ni hejɔɔmɔ gbi lɛ nɔ lɛ nyɛfoɔ mɔ ketia
   If a man receives circumcision on the Sabbath so that the law of Moses should not be broken are you angry with Me because I made a man completely well on the Sabbath?,  Kɛji hejɔɔmɔ gbi lɛ nɔ lɛ afoɔ mɔ kɛtia bɔ ni afee ni akatɔ̃ Mose Mla lɛ nɔ lɛ mɛɛba nyɛmli fuɔ mi akɛ mitsa gbɔmɔ muu lɛ yɛ hejɔɔmɔ gbi lɛ nɔ?
   Do not judge according to appearance but judge with righteous judgment',  Nyɛkakwɛa hiɛiaŋ nyɛkojoa shi moŋ nyɛkojoa jalɛ kojomɔ
   Now some of them from Jerusalem said 'Is this not He whom they seek to kill?,  Kɛkɛ ni Yerusalɛmbii lɛ ateŋ mɛi komɛi kɛɛ “Ani jeee mɔ ni amɛtaoɔ amɛgbe lɛ nɛ?
   But look! He speaks boldly and they say nothing to Him Do the rulers know indeed that this is truly the Christ?,  Ni naa faŋŋ ewieɔ yɛ nɛɛ ni amɛkɛɛɛ lɛ nɔ ko Ekolɛ benɛ onukpai lɛ ena ele lɛɛlɛŋ akɛ mɔ nɛ ji Kristo lɛ?
   However we know where this Man is from but when the Christ comes no one knows where He is from',  Shi mɔ nɛ lɛ wɔle he ni ejɛ shi Kristo lɛ be ni eeeba lɛ mɔ ko leŋ he ni ejɛ
   Then Jesus cried out as He taught in the temple saying 'You both know Me and you know where I am from and I have not come of Myself but He who sent Me is true whom you do not know,  No hewɔ lɛ be ni Yesu tsɔ̃ɔ nii yɛ Sɔlemɔ we lɛ ebo ekɛɛ “Nyɛle mi ni asaŋ nyɛle he ni mijɛ ni mitooo mi diɛŋtsɛ miyiŋ mibaaa shi moŋ anɔkwafo ji mɔ ni tsu mi lɛ ni nyɛleee lɛ
   But I know Him for I am from Him and He sent Me',  Shi mi lɛ mile lɛ ejaakɛ eŋɔɔ mijɛ ni lɛ etsu mi
   Therefore they sought to take Him but no one laid a hand on Him because His hour had not yet come,  No hewɔ lɛ amɛmiitao amɛmɔ lɛ shi kɛ̃lɛ mɔ ko etaaa ehe ejaakɛ eŋmɛlɛtswaa lɛ shɛko
   And many of the people believed in Him and said 'When the Christ comes will He do more signs than these which this Man has done?',  Shi asafo lɛ mli mɛi pii he enɔ amɛye ni amɛkɛɛ “Be ni Kristo lɛ aaaba lɛ ani eeefee okadii pii fe nii ni mɔ nɛ feɔ nɛɛ?”
   The Pharisees heard the crowd murmuring these things concerning Him and the Pharisees and the chief priests sent officers to take Him,  Farisifoi lɛ nu akɛ asafo lɛ miiwie nii nɛɛ ahe huhuhuhu yɛ ehe ni Farisifoi lɛ kɛ osɔfonukpai lɛ tsu tsuji koni amɛyamɔ lɛ
   Then Jesus said to them 'I shall be with you a little while longer and then I go to Him who sent Me,  Kɛkɛ ni Yesu kɛɛ amɛ akɛ “Be fioo kɛkɛ eshwɛ ni mikɛ nyɛ baahi shi ni mibaya mɔ ni tsu mi lɛ ŋɔɔ
   You will seek Me and not find Me and where I am you cannot come',  Nyɛaatao mi ni nyɛnaŋ mi ni he ni miyɔɔ lɛ nyɛnyɛŋ jɛi nyɛba
   Then the Jews said among themselves 'Where does He intend to go that we shall not find Him? Does He intend to go to the dispersion among the Greeks and teach the Greeks?,  No hewɔ lɛ Yudafoi lɛ kɛɛkɛɛ amɛhe akɛ “Nɛgbɛ mɔ nɛ baaya ni wɔnaŋ lɛ? Ani mɛi ni egbɛ eshwã Helabii lɛ ateŋ lɛ aŋɔɔ ebaaya ni eyatsɔ̃ɔ Helabii lɛ anii?
   What is this thing that He said 'You will seek Me and not find Me' and 'Where I am you cannot come'?,  Mɛɛ wiemɔ ewie nɛɛ ‘Nyɛaatao mi ni nyɛnaŋ mi ni he ni miyɔɔ lɛ nyɛnyɛŋ jɛi nyɛba lɛ?’
   On the last day that great day of the feast Jesus stood and cried out saying 'If anyone thirsts let him come to Me and drink,  Shi naagbee gbi ni ji gbii juji lɛ ateŋ gbi wulu lɛ nɔ lɛ Yesu yadamɔ shi ni ebo ekɛɛ “Kɛji kumai miiye mɔ ko lɛ eba miŋɔɔ ni ebanu nu
   He who believes in Me as the Scripture has said out of his heart will flow rivers of living water',  Mɔ ni heɔ minɔ eyeɔ lɛ bɔ ni ŋmalɛ lɛ kɛɔ lɛ fai ni wala nu yɔɔ mli aaajɛ emli aho
   But this He spoke concerning the Spirit whom those believing in Him would receive for the Holy Spirit was not yet given because Jesus was not yet glorified,  u Shi Mumɔ lɛ ni mɛi ni heɔ enɔ yeɔ lɛ baana lɛ he ewie nɛɛ shi Mumɔ Krɔŋkrɔŋ lɛ nako aba ejaakɛ anako awo Yesu hiɛ nyam
   Therefore many from the crowd when they heard this saying said 'Truly this is the Prophet',  v Be ni asafo lɛ mli mɛi komɛi nu wiemɔ nɛɛ lɛ amɛkɛɛ “Gbalɔ lɛ nɛ lɛɛlɛŋ!”
   Others said 'This is the Christ' But some said 'Will the Christ come out of Galilee?,  w Mɛi komɛi kɛɛ “Kristo lɛ nɛ!” Shi mɛi krokomɛi hu kɛɛ “Ani Kristo lɛ Galilea ebaajɛ?
   Has not the Scripture said that the Christ comes from the seed of David and from the town of Bethlehem where David was?,  x Ani Ŋmalɛ lɛ ekɛɛɛ akɛ David shwiei lɛ mli kɛ Betlehem maŋ he ni David hi lɛ jɛi Kristo lɛ baajɛ?
   So there was a division among the people because of Him,  y Kɛkɛ ni mligbalamɔ ba asafo lɛ mli yɛ ehewɔ
   Now some of them wanted to take Him but no one laid hands on Him,  z Shi kulɛ amɛteŋ mɛi komɛi miitao akɛ amɛmɔɔ lɛ shi kɛ̃lɛ mɔ ko etaaa ehe
   Then the officers came to the chief priests and Pharisees who said to them 'Why have you not brought Him?,  Kɛkɛ ni tsuji lɛ ku amɛsɛɛ kɛtee osɔfonukpai lɛ kɛ Farisifoi lɛ aŋɔɔ Amɛbi tsuji lɛ akɛ “Mɛɛba nyɛkɛ lɛ baaa?”
   The officers answered 'No man ever spoke like this Man!',  a Tsuji lɛ here nɔ akɛ “Bɔ ni gbɔmɔ nɛɛ wieɔ lɛ mɔ ko ewieko nakai dã”
   Then the Pharisees answered them 'Are you also deceived?,  Kɛkɛ ni Farisifoi lɛ here amɛ nɔ akɛ “Ani nyɛ hu alaka nyɛ?
   Have any of the rulers or the Pharisees believed in Him?,  Ani onukpai lɛ loo Farisifoi lɛ ateŋ mɔ ko ehe enɔ eye?
   But this crowd that does not know the law is accursed',  Shi asafo ni leee Mla nɛɛ alomɔ amɛ
   Nicodemus he who came to Jesus by night being one of them said to them,  b Nikodemo amɛteŋ mɔ kome ni ba Yesu ŋɔɔ be ko lɛ kɛɛ amɛ akɛ
   Does our law judge a man before it hears him and knows what he is doing?,  c “Kɛ anuko mɔ ko daaŋ gbee ni aaale nɔ ni efee lɛ wɔmla lɛ buɔ le fɔ lo?”
   They answered and said to him 'Are you from Galilee too? Search and look for no prophet has arisen out of Galilee',  d Amɛhere nɔ amɛkɛɛ lɛ akɛ “Ani bo hu Galilea ojɛ? Taomɔ mli okwɛ shi gbalɔ ko eteko shi kɛjɛko Galilea pɛŋ”
   And everyone went to his own house,  Ni amɛteŋ mɔ fɛɛ mɔ tee ewe
   But Jesus went to the Mount of Olives,  Shi Yesu yiŋ etee Mugɔŋ lɛ nɔ
   Now early in the morning He came again into the temple and all the people came to Him and He sat down and taught them,  Ni leebi maaŋkpa lɛ eba Sɔlemɔ we lɛ ekoŋŋ ni maŋ lɛ fɛɛ ba eŋɔɔ ni eho eta shi etsɔ̃ɔ amɛ nii
   Then the scribes and Pharisees brought to Him a woman caught in adultery And when they had set her in the midst,  Ni mlatsɔɔlɔi lɛ kɛ Farisifoi lɛ ŋɔ yoo ko ni amɔ lɛ yɛ gbãlãfitemɔ mli kɛba eŋɔɔ ni amɛhã edamɔ teŋ
   they said to Him 'Teacher this woman was caught in adultery in the very act',  ni amɛkɛɛ Yesu akɛ “Tsɔɔlɔ nɛkɛ yoo nɛɛ gbãlãfitemɔ mli diɛŋtsɛ amɔ lɛ yɛ amrɔ nɛɛ nɔŋŋ
   Now Moses in the law commanded us that such should be stoned But what do You say?,  a Mla lɛ mli lɛ Mose wo wɔ kitã akɛ atswia nɛkɛ yei atɛi Shi bo lɛ te okɛɔ tɛŋŋ?
   This they said testing Him that they might have something of which to accuse Him But Jesus stooped down and wrote on the ground with His finger,  Shi enɛ lɛ amɛkɛɛ amɛkɛtsɔ̃ lɛ koni amɛna nɔ ko amɛkɛyafolɔ enaa Ni Yesu koto shi ni ekɛ ewao ŋma nii yɛ shikpɔŋ
   So when they continued asking Him He raised Himself up and said to them 'He who is without sin among you let him throw a stone at her first',  Shi be ni amɛhiɛ lɛ bimɔ lɛ ewo ehe nɔ ekɛɛ amɛ akɛ “Nyɛteŋ mɔ ni esha bɛ ehe lɛ lɛ tsutsu etswa lɛ tɛ lɛ”
   And again He stooped down and wrote on the ground,  Ni esaa ekoto shi ekoŋŋ ni eŋma nii yɛ shikpɔŋ
   Then those who heard it being convicted by their conscience went out one by one beginning with the oldest even to the last And Jesus was left alone and the woman standing in the midst,  b Be ni amɛnu nɔ ni ekɛɛ lɛ amɛbɔ̃i kpojee ekomekome kɛjɛ klɛŋklɛŋ mɔ nɔ kɛyashi sɛɛkpee mɔ nɔ ni bashwɛ Yesu kome kɛkɛ kɛ yoo lɛ ni edãmɔ te lɛ mli
   When Jesus had raised Himself up and saw no one but the woman He said to her 'Woman where are those accusers of yours? Has no one condemned you?',  Shi be ni Yesu wo ehe nɔ ni enaaa mɔ ko akɛ ja yoo lɛ kɛkɛ lɛ ebi lɛ akɛ “Awo nɛgbɛ onaafolɔlɔi lɛ yɔɔ Ani mɔ ko ebuko bo fɔ?”
   She said 'No one Lord' And Jesus said to her 'Neither do I condemn you go and sin no more',  c Ni ekɛɛ “Mɔ ko ebuko mi fɔ Nuŋtsɔ” Ni Yesu kɛɛ lɛ akɛ “Mi hu mibuuu bo fɔ yaa shi kaafee esha dɔŋŋ”
   Then Jesus spoke to them again saying 'I am the light of the world He who follows Me shall not walk in darkness but have the light of life',  d Kɛkɛ ni Yesu kɛ amɛ wie ekoŋŋ ekɛɛ “Mi ji je lɛ mli la lɛ Mɔ ni nyiɛɔ misɛɛ lɛ enyiɛŋ duŋ mli gbi ko gbi ko shi moŋ eeena wala la lɛ”
   The Pharisees therefore said to Him 'You bear witness of Yourself Your witness is not true',  No hewɔ lɛ Farisifoi lɛ kɛɛ lɛ akɛ “Bo lɛ bo diɛŋtsɛ ohe odase oyeɔ odase lɛ bɛ mli”
   Jesus answered and said to them 'Even if I bear witness of Myself My witness is true for I know where I came from and where I am going but you do not know where I come from and where I am going',  e Yesu here nɔ ekɛɛ “Kɛ miiye mi diɛŋtsɛ mihe odase hu jiŋŋ midase lɛ anɔkwale ni ejaakɛ mile he ni mijɛ kɛ he ni miyaa shi nyɛ lɛ nyɛleee he ni mijɛ aloo he ni miyaa
   You judge according to the flesh I judge no one,  Nyɛ lɛ nyɛkojoɔ bɔ ni gbɔmɛi kojoɔ mi lɛ mikojooo mɔ ko
   And yet if I do judge My judgment is true for I am not alone but I am with the Father who sent Me,  f Ni kɛ mikojoɔ tete po mikojomɔ lɛ anɔkwale ni ejaakɛ jeee mi kome ni shi moŋ mi kɛ Tsɛ ni tsu mi lɛ ni
   It is also written in your law that the testimony of two men is true,  g Ni asaŋ nyɛmla lɛ mli hu aŋma akɛ ‘Mɛi enyɔ odase lɛ anɔkwaleŋ’
   I am One who bears witness of Myself and the Father who sent Me bears witness of Me',  Mi lɛ miyeɔ mi diɛŋtsɛ mihe odase ni Tsɛ ni tsu mi lɛ hu yeɔ mihe odase”
   Then they said to Him 'Where is Your Father?' Jesus answered 'You know neither Me nor My Father If you had known Me you would have known My Father also',  h Kɛkɛ ni amɛbi lɛ akɛ “Nɛgbɛ oTsɛ lɛ yɔɔ?” Yesu here nɔ akɛ “Nyɛko a anka miiye ni nɛgbɛ nyɛ ko anka nɛgbɛ nɔŋ Tsɛ nɔ”
   These words Jesus spoke in the treasury as He taught in the temple and no one laid hands on Him for His hour had not yet come,  i Mɛi mli Yesu diɛŋtsɛ lɛ akɛɛ wɔsuyei mɔ ni amɛ tsɔŋɔɔ lɛ ni mɔ ko bɛ maa eŋɔɔ ni eba tsu kɛ nɔ yehe nɔ mɔ
   Then Jesus said to them again 'I am going away and you will seek Me and as I said to the Jews 'Where I am going you cannot come',  j Kɛkɛ ni Yesu kɛ amɛ wie ekɛɛ “Mi lɛ tuŋ ni nyɛ lɛ bɛ no eŋɔ ni ebɔko eJew lɛ ‘Nɛgbɛ mɔ lɛ nyɛ lɛ mɔ mɔ”
   So the Jews said 'Will He kill Himself because He says 'Where I go you cannot come'?,  k KɛJew lɛ bɛ lɛ akɛ “Beji bɔ ni mɔ kɛni bɛ ma eŋɔ ‘Nɛgbɛ mɔ lɛ nyɛ lɛ bɛ ma”
   And He said to them 'You are from beneath I am from above You are of this world I am not of this world',  l Ni eŋmɔ nɔ ‘Nyɛ bɔ ni mi yɔɔ nyɛ lɛ ni gbɔmɛi mi lɛ mɔ ni gbɔmɛi nɔ”
   Therefore I said to you that you will die in your sins for if you do not believe that I am He you will die in your sins',  m Kɛ mi here nyɛ lɛ ‘Nyɛ bɛ ye eshii mli lɛ ni mii ni nyɛ lɛ bɛ ye eshii mli lɛ
   Then they said to Him 'Who are You?' And Jesus said to them 'Just what I have been saying to you from the beginning',  n Kɛkɛ ni amɛbɛ lɛ akɛ “Ejaakɛ ko!” Ni Yesu here nɔ akɛ “Mɛmɛ bo akɛ mɔ ni me so eŋko jɛmɔ”
